Model ID,Type,Base Model
soob3123/amoral-gemma3-12B,finetune,google/gemma-3-12b-it
lunahr/csm-1b-safetensors-fp16,finetune,sesame/csm-1b
chatpig/t5xxl,quantized,google/t5-v1_1-xxl
soob3123/amoral-gemma3-12B-gguf,quantized,soob3123/amoral-gemma3-12B
suayptalha/DeepSeek-R1-Distill-Qwen-0.5B-CoMa,,
XeTute/TypoRPV2-2B,finetune,Qwen/Qwen2.5-1.5B-Instruct
nidum/Nidum-gemma-3-27B-it-Uncensored,,
XeTute/HamzahLMV0-3B,finetune,meta-llama/Llama-3.2-3B-Instruct
XeTute/HamzahLMV1-1B,finetune,meta-llama/Llama-3.2-1B-Instruct
XeTute/TypoRPV3-2B,finetune,XeTute/TypoRPV2-2B
BeaverAI/Fallen-Gemma3-27B-v1c-GGUF,,
GilbertClaus/Cospuri-001-sampai-300,,
Nexesenex/TeeZee_Kyllene-Yi-34B-v1.1-iMat.GGUF,,
Tongjilibo/MiniLLM-0.2B-WithWudao,,
motheecreator/vit-Facial-Expression-Recognition,,
amazon/MegaBeam-Mistral-7B-300k,,
motheecreator/Deepfake-audio-detection,finetune,motheecreator/wav2vec2-base-finetuned
SakuraLLM/GalTransl-7B-v2.6,,
mesolitica/malaysian-whisper-large-v3-turbo,,
pwork7/rlhflow_mix_dart_code_v1_iter2,,
recoilme/ae,,
amadeusai/qwen2.5-14B-PT-BR-Instruct,finetune,Qwen/Qwen2.5-14B
fauzail/Florence-2-VQA,finetune,microsoft/Florence-2-base-ft
tryumanshow/Qwen2.5-3B-Instruct-ko,,
karrelin/niistorm,merge,"Sao10K/L3.1-8B-Niitama-v1.1, akjindal53244/Llama-3.1-Storm-8B"
reedmayhew/DeepSeek-R1-2025Navigator-Llama-3.1-8B-hf-Q4_K_M-GGUF,quantized,reedmayhew/DeepSeek-R1-2025Navigator-Llama-3.1-8B-hf
Akashkale83/my_model,,
AkumaVenom/Llama-3-DeepSeek-R1-Distill-8B-LewdPlay-Uncensored-Imatrix-Q5_K_S-GGUF,quantized,mergekit-community/Llama-3-DeepSeek-R1-Distill-8B-LewdPlay-Uncensored
Nexesenex/Llama_3.2_3b_Kermes_v2.1-iMat-CQ-GGUF,quantized,Nexesenex/Llama_3.2_3b_Kermes_v2.1
seraphdesu/Magnum-Pygmalion,merge,"PygmalionAI/Pygmalion-3-12B, anthracite-org/magnum-v2-12b"
seraphdesu/Magnum-Eleusis,merge,"PygmalionAI/Eleusis-12B, anthracite-org/magnum-v2-12b"
seraphdesu/Magnum-Eleucaro,merge,"PygmalionAI/Eleusis-12B, Trappu/Magnum-Picaro-0.7-v2-12b"
seraphdesu/Magnum-Eleusis-Q6_K-GGUF,quantized,seraphdesu/Magnum-Eleusis
seraphdesu/Magnum-Eleucaro-Q6_K-GGUF,quantized,seraphdesu/Magnum-Eleucaro
Mescalamba/CybeRealistic_PONY_v8_GGUF,,
Dunjeon/L3.1-8b-SkaiRim_Sundown_V1_Uncensored,,
smirki/UIGEN-T1-Qwen-7b,quantized,Qwen/Qwen2.5-Coder-7B-Instruct
BounharAbdelaziz/Morocco-Darija-Static-Sentence-Embedding,,
smirki/UIGEN-T1.1-Qwen-14B,finetune,Qwen/Qwen2.5-Coder-14B-Instruct
Dunjeon/L3.1-4x8b_BlackTower_RP-V1.1-Uncensored,finetune,meta-llama/Llama-3.1-8B
SamChen888/Mistral-7B-EN-Finetuned,adapter,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
SamChen888/Mistral-7B-EN-Test,adapter,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
BounharAbdelaziz/Morocco-Darija-Sentence-Embedding-v0.2,finetune,BounharAbdelaziz/XLM-RoBERTa-Morocco
YOYO-AI/Qwen2.5-14B-1M-YOYO-V3,merge,"EVA-UNIT-01/EVA-Qwen2.5-14B-v0.2, Qwen/Qwen2.5-14B-Instruct-1M, Qwen/Qwen2.5-14B, arcee-ai/Virtuoso-Small-v2, Qwen/Qwen2.5-14B-Instruct, Azure99/Blossom-V6-14B"
ahmeterdempmk/Flux-LoRA,adapter,black-forest-labs/FLUX.1-dev
the-best-ai-apps/ask-ai,,
the-best-ai-apps/deepseek-vs-chatgpt,,
the-best-ai-apps/deepseekvschatgpt,,
malaysia-ai/malaysian-whisper-large-v3-turbo,finetune,openai/whisper-large-v3-turbo
kpokhrel007/fine-tuned-DeepSeek-R1-Distill-Quen_1.5B_Commenting,adapter,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
Spestly/Carbon-1-14B-R1,,
Vikas76767/unsloth_4bit_mistral_nl_slm__mar_1,finetune,unsloth/mistral-7b-bnb-4bit
zhiyuanpeng/Qwen2.5-0.5B-Open-R1-Distill,finetune,Qwen/Qwen2.5-0.5B-Instruct
TOMFORD79/Special_Titanium1,,
sthenno/tempestissimo-14b-0309,finetune,sthenno-com/miscii-14b-0218
SamChen888/Mistral-7B-PT-TEST,adapter,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
XeTute/TypoRPV1-0.5B,,
Metaskepsis/OnlyQ,,
johnfebry/CMT,finetune,Qwen/Qwen2.5-VL-7B-Instruct
LucidityAI/Lumi-V1,,
Solobrad/LEC-lightweight-emotion-detection,,
YOYO-AI/Qwen2.5-32B-qwq-it-slerp,merge,"Qwen/Qwen2.5-32B-Instruct, Qwen/QwQ-32B"
ai4privacy/llama-ai4privacy-multilingual-redactor-openpii,,
vinhnx90/gemma-3,finetune,unsloth/gemma-3-4b-it-unsloth-bnb-4bit
scryptiam/Rara-v1-3B,quantized,meta-llama/Llama-3.2-3B-Instruct
BluebrainAI/BBmath-Qwen2.5-3B-GRPO,finetune,Qwen/Qwen2.5-3B-Instruct
cosmosai471/LunaAI,,
nidum/Nidum-gemma-3-4b-it-Uncensored,,
nidum/Nidum-gemma-3-4b-it-uncensored-GGUF,,
musketshugging/qwen-poker-tuned-v3,,
XeTute/Medic-1B,finetune,meta-llama/Llama-3.2-1B
XeTute/Medic-3B,finetune,meta-llama/Llama-3.2-3B
namphungdn134/np-whisper-base-vi,finetune,openai/whisper-base
scryptiam/Rara-v1.1-3B,quantized,meta-llama/Llama-3.2-3B-Instruct
XeTute/HamzahLMV0-1B,finetune,meta-llama/Llama-3.2-1B-Instruct
nvidia/Cosmos-UpsamplePrompt1-12B-Transfer,,
Spestly/Neo-1-7B-Flash,,
Sugutt/finbert-expense-categorization,,
YOYO-AI/YOYO-O1-QwQ-Light-DS-Coder-32B,merge,"Qwen/Qwen2.5-Coder-32B-Instruct, qihoo360/Light-R1-32B-DS, Qwen/Qwen2.5-Coder-32B, qihoo360/Light-R1-32B, Qwen/QwQ-32B"
Sorawiz/MistralCreative-3.1-24B-Instruct-TestUnion,merge,"Sorawiz/MistralCreative-24B-ModelStock-Test, TroyDoesAI/BlackSheep-24B, estrogen/ms24b-exprmerge-v0a, OddTheGreat/Apparatus_24B, Sorawiz/MistralCreative-3.1-24B-Instruct-Test"
YOYO-AI/YOYO-O1-QwQ-Light-DS-32B,merge,"qihoo360/Light-R1-32B-DS, Qwen/Qwen2.5-32B, qihoo360/Light-R1-32B, Qwen/QwQ-32B"
Kaoeiri/MS-Magpantheonsel-lark-v5x1.8RP-Cydonia-vXXX-24B-pre12.1,merge,"cognitivecomputations/Dolphin3.0-Mistral-24B, Kaoeiri/MS-Hempantheonsel-Mull-v5x1.8RP-Cydonia-vXXX-24B-12, TheDrummer/Cydonia-24B-v2.1, anthracite-core/Mistral-Small-3.1-24B-Instruct-2503-HF, Darkknight535/WinterEngine-24B-Instruct, Gryphe/Pantheon-RP-1.8-24b-Small-3.1"
Leo0129/CustomModel_dianping-chinese,,
Mael7307/bert-base-uncased-snli,,
Mael7307/roberta-large-mnli,,
Mael7307/roberta-large-qqp,,
Rattana/wav2vec2-thai-ASR,,
Rattana/wav2vec2-thai-colab,,
monsoon-nlp/gpt-winowhy,,
oigele/Awesome_fewshot_fb,,
oigele/Fb_improved_zeroshot,,
oigele/awesome_fb_model,,
oigele/fb_zeroshot_new,,
Voicemod/fastspeech2-en-ljspeech,,
Voicemod/fastspeech2-en-200_speaker-cv4,,
Voicemod/fastspeech2-mf-ms,,
Voicemod/fastspeech2-mf,,
Voicemod/fastspeech2-en-male1,,
Voicemod/fastspeech2-mf1,,
Voicemod/fastspeech2-mf4,,
lqdisme/distilbert-base-uncased-finetuned-squad,,
lqdisme/test_squad,,
front/assets,,
LarreaAI/new-test-model,,
Gxg/Op_MacBert_23K_ApeClean,,
Gxg/Op_Bert_MathQA,,
Gxg/Op_MacBert_HMWP,,
Gxg/Num_MacBert_HMWP,,
Gxg/NumOp_MacBert_HMWP,,
Gxg/Both_MacBert_HMWP,,
Gxg/BEM-SM_En,,
Gxg/BEM-SM_ZH,,
Gxg/CL_MacBert_Final,,
Gxg/CL_MacBert_Mini,,
Gxg/OpCL_MacBert_HMWP,,
Gxg/CL_MacBert_HMWP,,
Gxg/OpNum_Bert_Merge,,
Gxg/Op_Bert_Merge,,
Gxg/Num_Bert_Merge,,
Gxg/Cl_Merge_Bert,,
hynt/whisper-small-hi,,
crypto/sbv1,,
jungwhank/ppo-LunarLander-v2,,
msalnikov/kgqa_sqwd-tunned_t5-large-ssm-nq,,
gabrielspadon/wav2vec2-base-finetuned-ks,,
JimmyYHung/Lora,,
JimmyYHung/embeddings,,
JimmyYHung/VAE,,
JimmyYHung/SD_config,,
JimmyYHung/ESRGAN,,
lucasmaes/pixel-base-csn,,
MikeDoes/privacy-tensorflow-js,,
Gxg/OpSum_Math23K,,
Gxg/zyc_bert_zh,,
Gxg/zyc_roberta_zh,,
Gxg/zyc_bert_en,,
Gxg/zyc_roberta_en,,
kika2000/vicuna-13b-1-1,,
Mael7307/sbiobert,,
owanr/roberta-large-lora-cross-loss-plus-0.0003-1-64-32-005,,
owanr/roberta-large-lora-cross-loss-plus-0.0003-3-128-32-005,,
owanr/roberta-large-lora-cross-loss-plus-0.0003-3-128-64-005,,
owanr/roberta-large-lora-cross-loss-plus-0.0003-3-64-32-005,,
EvaKlimentova/DNA_bert_6_demo_coding_vs_intergenomic_seqs,,
EvaKlimentova/DNA_bert_6_demo_human_or_worm,,
EvaKlimentova/DNA_bert_6_dummy_mouse_enhancers_ensembl,,
EvaKlimentova/DNA_bert_6_drosophila_enhancers_stark,,
EvaKlimentova/DNA_bert_6_human_enhancers_cohn,,
EvaKlimentova/DNA_bert_6_human_enhancers_ensembl,,
owanr/roberta_large_iterater_classifier,,
EvaKlimentova/DNA_bert_6_human_ensembl_regulatory,,
EvaKlimentova/DNA_bert_6_human_nontata_promoters,,
EvaKlimentova/DNA_bert_6_human_ocr_ensembl,,
EvaKlimentova/DNADebertaK6f_human_ocr_ensembl,,
EvaKlimentova/DNADebertaK6f_human_nontata_promoters,,
EvaKlimentova/DNADebertaK6f_human_ensembl_regulatory,,
EvaKlimentova/DNADebertaK6f_human_enhancers_ensembl,,
EvaKlimentova/DNADebertaK6f_human_enhancers_cohn,,
EvaKlimentova/DNADebertaK6f_drosophila_enhancers_stark,,
EvaKlimentova/DNADebertaK6f_demo_human_or_worm,,
EvaKlimentova/DNADebertaK6f_demo_coding_vs_intergenomic_seqs,,
owanr/testing,,
owanr/testing_merged,,
owanr/SChem5Labels_testing,,
EvaKlimentova/DNADebertaK6f_dummy_mouse_enhancers_ensembl,,
owanr/roberta-large-lora-cross-loss-coedit-0.0003-3-64-32-005,,
owanr/roberta_large_coedit_classifier,,
owanr/t5-lora-constantlr-seed42-coedit-0.0003-3-64-32-005,,
owanr/t5-lora-constantlr-seed42-coedit-0.0001-3-128-32-005,,
owanr/t5_large_coedit_classifier,,
owanr/t5-lora-cross-linearlr-coedit-0.003-1-64-32-005,,
owanr/t5-lora-get_constant_schedule_with_warmup-seed42-coedit-5e-05-1-64-32-005,,
owanr/t5-lora-get_cosine_schedule_with_warmup-seed42-coedit-5e-05-1-64-32-005,,
owanr/t5-lora-get_cosine_schedule_with_warmup-seed42-coedit-0.0005-1-64-32-005,,
owanr/t5-lora-get_cosine_schedule_with_warmup-seed42-coedit-5e-06-1-64-32-005,,
ozerune/monokuma-so-vits-svc,,
PapiStone/ZmithMonk,,
fayez94/code-search-net-tokenizer,,
Williford/segformer-b0-finetuned-segments-sidewalk-2,,
owanr/r1_iterater_1,,
owanr/rlhf_r1_coedit,,
hlee118/huggingface-test,,
iambestfeed/open_llama_3b_4bit_128g,,
iambestfeed/bloomz-3b-4bit,,
iambestfeed/vietcuna-sft-merged,,
owanr/r1_iterater,,
owanr/ckpt_sari_coedit_large,,
iambestfeed/bloomz-7b1-4bits-128gr,,
iambestfeed/llama_7b_4bit_16g_spqr,,
owanr/ckpt_r1_coedit_large,,
owanr/r1_coedit,,
owanr/r1_coedit_iter,,
arpansm10/SFT-Falcon-7b,,
