Model ID,Type,Base Model
scratchtheplan/vanilla-cn-roleplay-0.1,finetune,Qwen/Qwen2.5-3B-Instruct
Goekdeniz-Guelmez/Josiefied-Qwen3-14B-abliterated-v1-gguf,,
JeffreyXiang/TRELLIS-image-large,,
JeffreyXiang/TRELLIS-text-xlarge,,
Hamzah-Asadullah/GenericRPV3-2B-GGUF,quantized,Hamzah-Asadullah/GenericRPV3-2B
caug37/TinyTim,,
manu/bge-m3-custom-fr,,
qualcomm/Yolo-NAS,,
conservationxlabs/miewid-msv2,,
Aardiiiiy/NusaBERT-base-Indonesian-Plutchik-emotion-analysis-v2,,
paruparu95483/paruparu_illustrious,,
conservationxlabs/miewid-msv3,,
BSC-LT/salamandraTA-2B,finetune,BSC-LT/salamandra-2b
Jake333/traffic-signs,,
Shreyask09/speaker-segmentation-fine-tuned-hindi,finetune,pyannote/speaker-diarization-3.1
Utsuho/bert-base-japanese-sentiment-token,,
timbossm/TEXT2SQL_BASE,,
AI-Girlfriend/AI-Dating-App,,
GuilhermeNaturaUmana/Nature-Reason-1,finetune,nicoboss/Hermes-3-Llama-3.1-405B-Uncensored
GuilhermeNaturaUmana/Nature-Reason-1-AGI-LORA,adapter,nicoboss/Hermes-3-Llama-3.1-405B-Uncensored
TNSA-AI/ngen3,finetune,TNSA-AI/ngen3
GuilhermeNaturaUmana/Nature-Reason-1-AGI-GGUFs,,
GuilhermeNaturaUmana/Nature-Reason-1-AGI-AWQ,quantized,nicoboss/Hermes-3-Llama-3.1-405B-Uncensored
noirchan/Llama-3-8B_Suzume_DARE0.5,merge,"meta-llama/Meta-Llama-3-8B-Instruct, lightblue/suzume-llama-3-8B-japanese"
mlx-community/SmolVLM2-256M-Video-Instruct-mlx,finetune,HuggingFaceTB/SmolLM2-360M-Instruct
thebnbrkr/joerogan,adapter,black-forest-labs/FLUX.1-dev
Boomtoknlab/BoomAI,,
LeonardoBerti/TLOB-stock-price-trend-prediction,,
LeonardoBerti/DeepMarket,,
LTS-VVE/tommorri-reliachat,adapter,trl-internal-testing/tiny-GPTNeoXForCausalLM
Ishan0612/biobert-ner-disease,finetune,dmis-lab/biobert-base-cased-v1.1
JeffreyXiang/TRELLIS-text-base,,
bharathkumar1922001/gemma-3-12b-telugu,finetune,google/gemma-3-12b-pt
