Model ID,Type,Base Model
ICONNAI/ICONN-e1,,
BeaverAI/Cydonia-24B-v3j-GGUF,quantized,mistralai/Magistral-Small-2506
Nitral-AI/Irix-12B-Reasoner-v.0.2,finetune,DreadPoor/Irix-12B-Model_Stock
yunfeixie/llava_med_in_text_60k_ckpt2,,
omertugrul/whisper-small-kurmanjiv2,,
sizzlebop/crystal-think-v1.0,adapter,Qwen/Qwen3-4B
JunhaoC/MADFormer-ImageNet,,
borgcollectivegmbh/Qwen3-Embedding-4B_linkedin_profile_run1_lora,finetune,Qwen/Qwen3-Embedding-4B
rodrigomt/quem-4b,merge,"POLARIS-Project/Polaris-4B-Preview, Tesslate/UIGEN-T3-4B-Preview-MAX, Menlo/Jan-nano, prithivMLmods/Vulpecula-4B"
ltrctelugu/bert_ltrc_telugu,,
ltrctelugu/gpt2_ltrc_telugu,,
ltrctelugu/ltrc-albert,,
ltrctelugu/ltrc-distilbert,,
ltrctelugu/ltrc-roberta,,
ltrctelugu/roberta_ltrc_telugu,,
ltrctelugu/tree_topconstituents,,
ltrctelugu/bigram,,
ltrctelugu/tree_depth,,
Intel/distilbert-base-uncased-squadv1.1-sparse-80-1x4-block-pruneofa-int8,,
Intel/coresearch-reader-roberta,,
daqian/ocr,,
Botnoi/xls-r-300m-th-beta,,
Botnoi/wav2vec2-xls-r-300m-th-beta,,
Botnoi/wav2vec2-xls-r-300m-th-v2,,
Luvidi/ppo-LunarLander-v2,,
Luvidi/ppo-Huggy,,
Botnoi/xls-r-300m-th-lm-v2,,
ooferdoodles/LORA_training,,
Botnoi/wav2vec2-xls-r-300m-th-v7_0,,
Botnoi/wav2vec2-xls-r-300m-th-cv11_0,,
iamoperand/ai-avatar-generator,,
Botnoi/whisper-large-v2-cv-11-th,,
ooferdoodles/tags2text-lora,,
nonlinearshimada/gpt2,,
nonlinearshimada/llama-7b,,
nonlinearshimada/llama-13b,,
nonlinearshimada/llama-30b,,
nonlinearshimada/llama-65b,,
Intel/gpt-neox-japanese-2.7b-int8-inc,,
ooferdoodles/text2tags-opt-350m,,
ooferdoodles/text2tags-llama7b,,
ooferdoodles/text2tags-opt-1.3b,,
ooferdoodles/goofyahh,,
ooferdoodles/tagger-ggml-7b,,
ooferdoodles/llama-tagger-HF,,
bhardwajsatyam/ddpm-ema-flowers-64,,
bhardwajsatyam/ddpm-ema-flowers-128,,
ArcAhmedEssam/maskformer-large-finetuned-maskments-elevation-Jul-11,,
ArcAhmedEssam/segformer-b0-finetuned-segments-sidewalk-oct-22,,
ArcAhmedEssam/maskformer-b0-finetuned-segments-2DElevation-Jul-20,,
Zscalerx/Proj_orientation,,
Soniceurs/alt-sonic,,
Soniceurs/alt-mario,,
Soniceurs/alt-miraculous,,
Soniceurs/alt-acteur,,
ercaronte/wav2vec2-base-finetuned-gtzan-2,finetune,facebook/wav2vec2-base
ercaronte/whisper-tiny,finetune,openai/whisper-tiny
ercaronte/speecht5_finetuned_voxpopuli_nl,finetune,microsoft/speecht5_tts
intone/BERT-GRADER,,
Soniceurs/alt-bob-l-eponge,,
Intel/sd-1.5-inpainting-quantized,,
intone/horror,,
imcertibtw/RVC_MODELS,,
Intel/sd-1.5-landscape-quantized,,
Intel/sd-1.5-portrait-quantized,,
LanguageBind/Video-LLaVA-V1.5,,
imcertibtw/MODELS2,,
Soniceurs/alt-dragon-ball,,
intone/dromedary-7B-chat,,
nguyenhoangtrungg/ALQAC-2023-mBert,,
Soniceurs/alt-pokemon,,
ooferdoodles/llama-tagger-7b,,
intone/AmminoLoRA,adapter,TinyLlama/TinyLlama-1.1B-Chat-v1.0
intone/Ammino-1.1B,,
imcertibtw/Pillager,,
max044/rbk-puzzleBert,,
max044/wikipedia_roberta,,
max044/rubik_roberta,finetune,distilbert/distilroberta-base
max044/rubik_roberta_clm,finetune,distilbert/distilgpt2
max044/rubik-222-tokenizer,,
max044/rubik-222,finetune,openai-community/gpt2
imcertibtw/Kilnac,,
gfdgsdfsdg/rickyyesmix,,
petarran/belgrade-ci-workshop,,
