Model ID,Type,Base Model
prithivMLmods/Sombrero-QwQ-32B-Elite10-Broken,finetune,Qwen/QwQ-32B
prithivMLmods/Sombrero-QwQ-32B-Elite10-Fixed-Q2_K-GGUF,quantized,prithivMLmods/Sombrero-QwQ-32B-Elite10-Fixed
prithivMLmods/Magellanic-Llama-70B-r999,finetune,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
sphiratrioth666/SX-2_Characters_Environment_SillyTavern,finetune,ArliAI/Mistral-Nemo-12B-ArliAI-RPMax-v1.1
featherless-ai/Qwerky-72B-Preview,,
recursal/RWKV6QwQ-32B-final-250307,,
riple-saanvi/FastText-news-categorization,,
XeTute/TypoRP-0.5B,finetune,XeTute/SaplingDream_V1-0.5B
amazon/MistralLite,,
amazon/Titan-text-embeddings-v2,,
CentraLogic/whisperX,,
ledinhnguyen00/majicmixRealistic_v7_inpainting,adapter,runwayml/stable-diffusion-v1-5
sarvamai/shuka_v1,,
sarvamai/sarvam-2b-v0.5,,
neo4j/neo4j_llama318b_finetuned_merged_oct24,finetune,unsloth/Meta-Llama-3.1-8B-Instruct
SesameStreet/FinRLlama-3.2-3B-Instruct,adapter,meta-llama/Llama-3.2-3B-Instruct
histai/hibou-L-plus,,
CodingGPT/marketing_model,,
future-technologies/Floyd,finetune,future-technologies/Astra-MMR-R1-Instruct
ru-spam/ruSpamNS_v9_Detector,,
nvjob/Drugban-7B-it-ru-gguf,quantized,Qwen/Qwen2.5-7B-Instruct
nvjob/Drugban-7B-it-ru-4q-gguf,quantized,nvjob/Drugban-7B-it-ru-gguf
OddTheGreat/PartOne-12B,merge,"bamec66557/VICIOUS_MESH-12B-OMEGA, inflatebot/MN-12B-Mag-Mell-R1"
OddTheGreat/PartTwo-12B,merge,"redrix/nepoticide-12B-Unslop-Unleashed-Mell-RPMax-v2, Epiculous/Crimson_Dawn-v0.2"
OddTheGreat/Unity-12B-Q4_K_M-GGUF,quantized,OddTheGreat/Unity-12B
OddTheGreat/Pretender-12b,merge,"cgato/Nemo-12b-Humanize-KTO-v0.1, Khetterman/AbominationScience-12B-v4"
