Model ID,Type,Base Model
soob3123/Veritas-12B-Q4_0-GGUF,quantized,soob3123/Veritas-12B
Goekdeniz-Guelmez/Josiefied-Qwen3-8B-abliterated-v1-gguf,quantized,Goekdeniz-Guelmez/Josiefied-Qwen3-8B-abliterated-v1
CAPsMANyo/Qwen3-32B_exl2,quantized,Qwen/Qwen3-32B
FlavioRubensOttaviani/WelcomeToTheJungle-DDPM-v1,,
Goekdeniz-Guelmez/Josiefied-Qwen3-30B-A3B-abliterated-v1,finetune,Qwen/Qwen3-30B-A3B
Nitral-AI/Violet-Magcap-12B-v1.9,,
CAPsMANyo/Qwen3-14B_exl2,quantized,Qwen/Qwen3-14B
Goekdeniz-Guelmez/Josiefied-Qwen3-30B-A3B-abliterated-v1-gguf,,
abhishek/autotrain-adult-census-xgboost,,
JosefJilek/moeFussion,,
Phando/chemberta-v2-finetuned-uspto-50k-classification,,
kiki7sun/mixtral-academic-LoRA-0222,adapter,mistralai/Mixtral-8x7B-v0.1
excalibur12/wav2vec2-large-lv60_phoneme-timit_english_timit-4k_002,finetune,facebook/wav2vec2-large-lv60
wanglab/ecg-fm-preprint,,
Triangle104/Gemma-2-Ataraxy-v2-9B-Q4_K_S-GGUF,quantized,lemon07r/Gemma-2-Ataraxy-v2-9B
Futuresony/future_ai_12_10_2024.gguf,finetune,google/gemma-2-2b-it
0x7o/T-pro-it-1.0-AWQ,quantized,t-tech/T-pro-it-1.0
glfx/fast-repo,,
LeroyDyer/SpydazWeb_AI_HumanAGI_002,finetune,LeroyDyer/LCARS_AI_StarTrek_Computer
jae-xe/fae_dawn_flux_lora,adapter,black-forest-labs/FLUX.1-dev
LeroyDyer/SpydazWeb_AI_HumanAGI_004,adapter,LeroyDyer/LCARS_AI_StarTrek_Computer
glfx/sd-webui-reactor,,
TareksLab/Progenitor-V2.1-LLaMa-70B,merge,"nbeerbower/Llama-3.1-Nemotron-lorablated-70B, EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1, Sao10K/70B-L3.3-Cirrus-x1, SicariusSicariiStuff/Negative_LLAMA_70B, Sao10K/L3.1-70B-Hanami-x1, TheDrummer/Anubis-70B-v1"
TareksLab/Progenitor-V2.3-LLaMa-70B,merge,"nbeerbower/Llama-3.1-Nemotron-lorablated-70B, EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1, Sao10K/70B-L3.3-Cirrus-x1, SicariusSicariiStuff/Negative_LLAMA_70B, Sao10K/L3.1-70B-Hanami-x1, TheDrummer/Anubis-70B-v1"
OddTheGreat/Machina_24B.V2-Q4_K_M-GGUF,quantized,OddTheGreat/Machina_24B.V2
TareksLab/Progenitor-V3.1-LLaMa-70B,merge,"Black-Ink-Guild/Pernicious_Prophecy_70B, EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1, Sao10K/70B-L3.3-Cirrus-x1, SicariusSicariiStuff/Negative_LLAMA_70B, Sao10K/L3.1-70B-Hanami-x1, TheDrummer/Anubis-70B-v1"
OddTheGreat/Machina_24B.V2-Q6_K-GGUF,quantized,OddTheGreat/Machina_24B.V2
OddTheGreat/Machina_24B.V2-Q3_K_M-GGUF,quantized,OddTheGreat/Machina_24B.V2
TareksLab/Progenitor-V3.4-LLaMa-70B,merge,"EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1, Sao10K/70B-L3.3-Cirrus-x1, SicariusSicariiStuff/Negative_LLAMA_70B, meta-llama/Llama-3.3-70B-Instruct, Sao10K/L3.1-70B-Hanami-x1, TheDrummer/Anubis-70B-v1"
Mendota/Mendota-103,,
TareksLab/Progenitor-V4.1-LLaMa-70B,merge,"EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1, Sao10K/70B-L3.3-Cirrus-x1, SicariusSicariiStuff/Negative_LLAMA_70B, Sao10K/L3.1-70B-Hanami-x1, TheDrummer/Anubis-70B-v1, Nexesenex/Llama_3.x_70b_Smarteaz_V1"
TareksLab/Progenitor-V5-Broken-LLaMa-70B,merge,"EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1, Sao10K/70B-L3.3-Cirrus-x1, SicariusSicariiStuff/Negative_LLAMA_70B, meta-llama/Llama-3.3-70B-Instruct, Sao10K/L3.1-70B-Hanami-x1, TheDrummer/Anubis-70B-v1"
Enturbulate/DeepSeek-v2.5-1210-UD-gguf,,
LeroyDyer/_Spydaz_Web_AI_AGI_R1_003,finetune,LeroyDyer/_Spydaz_Web_AI_Mistral_R1_Base
OddTheGreat/Nomad_12B_V6-Q4_K_M-GGUF,quantized,OddTheGreat/Nomad_12B_V6
OddTheGreat/Nomad_12B_V6-Q6_K-GGUF,quantized,OddTheGreat/Nomad_12B_V6
microsoft/mineworld,,
OddTheGreat/Apparatus_24B-Q8_0-GGUF,quantized,OddTheGreat/Apparatus_24B
OddTheGreat/Apparatus_24B-Q6_K-GGUF,quantized,OddTheGreat/Apparatus_24B
OddTheGreat/Apparatus_24B-Q5_K_M-GGUF,quantized,OddTheGreat/Apparatus_24B
OddTheGreat/Apparatus_24B-Q3_K_L-GGUF,quantized,OddTheGreat/Apparatus_24B
